antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.039522307345651195,0.03555655700766111,0.023884632717440287,0.6043329532497149,16.996385592663085,1.0,0.022479355543230335,2.437512678686689,0.9798915357709751,0.4665492957746479,0.5897457236863312,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03555655700766111,0.039522307345651195,0.023884632717440287,0.6717363751584283,16.996385592663085,1.0,0.022479355543230335,2.925933974920004,0.9758622635337971,0.4665492957746479,0.6582287882872202,0.6380346642040716
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.02861649391617846,0.03406940063091483,0.02086525461919784,0.7291338582677166,21.40142898804316,1.0,0.01989030782331542,3.566080991856798,0.981357149048118,0.4989224137931036,0.7195801210674924,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03406940063091483,0.02861649391617846,0.02086525461919784,0.6124338624338624,21.40142898804316,1.0,0.01989030782331542,2.506368363820372,0.9868971422847896,0.4989224137931036,0.6010163492186225,0.6707838603507895
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03114015322217215,0.02505633168093736,0.020730058584948176,0.6657018813314038,26.568209976158006,1.0,0.01994980057721822,2.9163899342358115,0.9932923068211464,0.5844980940279543,0.6571103238764838,0.7465200054139034
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02505633168093736,0.03114015322217215,0.020730058584948176,0.827338129496403,26.568209976158006,1.0,0.01994980057721822,5.611313279254922,0.9870939865188051,0.5844980940279543,0.8217885991685744,0.7465200054139034
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.035286164939161785,0.03114015322217215,0.02438035150968905,0.6909323116219668,22.18782633124666,1.0,0.023281534926860713,3.1347820662274346,0.9898585524955257,0.579849946409432,0.6809985578348501,0.7369278055939067
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03114015322217215,0.035286164939161785,0.02438035150968905,0.7829232995658466,22.18782633124666,1.0,0.023281534926860713,4.444115066846928,0.9856226816722506,0.579849946409432,0.7749833240232697,0.7369278055939067
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03925191527715187,0.07210455159981974,0.024605678233438486,0.6268656716417911,8.69384328358209,1.0,0.021775436482945335,2.4867598017124832,0.9211322786068318,0.28363636363636363,0.5978702891564519,0.48405783582089557
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.07210455159981974,0.03925191527715187,0.024605678233438486,0.34125,8.69384328358209,1.0,0.021775436482945335,1.4584411153288017,0.9537454612733874,0.28363636363636363,0.31433639007458136,0.48405783582089557
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.04740874267688148,0.04195583596214511,0.020910319963947724,0.44106463878326996,10.512593270247862,1.0,0.018921246533024936,1.7140518036867742,0.9499100329199579,0.3054641211323239,0.4165870612258695,0.4697267339995834
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04195583596214511,0.04740874267688148,0.020910319963947724,0.4983888292158969,10.512593270247864,1.0,0.018921246533024936,1.8990630847276733,0.9445034232965835,0.3054641211323239,0.47342454916741183,0.4697267339995834
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04740874267688148,0.05804416403785489,0.023298783235691754,0.4914448669201521,8.466740370309143,1.0,0.020546982398926394,1.8522196998732274,0.9257809004217107,0.283598464070214,0.4601072431804695,0.4464211912240512
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05804416403785489,0.04740874267688148,0.023298783235691754,0.40139751552795033,8.466740370309143,1.0,0.020546982398926394,1.5913586763063252,0.936233694053876,0.283598464070214,0.3716061533525034,0.4464211912240512
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05804416403785489,0.043533123028391164,0.020639927895448402,0.3555900621118013,8.16826447024935,1.0,0.018113084161308347,1.4842522139029306,0.9316519302596981,0.25501113585746105,0.3262600583424835,0.4148550724637682
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.043533123028391164,0.05804416403785489,0.020639927895448402,0.47412008281573503,8.168264470249348,1.0,0.018113084161308347,1.791199483345339,0.9175173693124863,0.25501113585746105,0.4417148903301674,0.4148550724637682
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05804416403785489,0.04195583596214511,0.023569175304191076,0.406055900621118,9.678174473450708,1.0,0.021133883879258995,1.6130207624585058,0.9519286306139935,0.3083726415094339,0.3800451777968206,0.48390872367253535
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04195583596214511,0.05804416403785489,0.023569175304191076,0.5617615467239527,9.678174473450708,1.0,0.021133883879258995,2.149413929609699,0.9359430000044071,0.3083726415094339,0.5347568999045312,0.48390872367253535
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05804416403785489,0.04452456061288869,0.021045515998197387,0.3625776397515528,8.143317637739836,1.0,0.018461125098269464,1.4989675589897677,0.931253773856871,0.25815367606412387,0.33287415461215725,0.41762485226444035
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04452456061288869,0.05804416403785489,0.021045515998197387,0.4726720647773279,8.143317637739834,1.0,0.018461125098269464,1.7862809326882907,0.9180768975170417,0.25815367606412387,0.44017764412060595,0.41762485226444035
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05804416403785489,0.04051374493014871,0.020279405137449302,0.34937888198757766,8.623712337379699,1.0,0.017927818680935938,1.4747235042123727,0.9385160378060577,0.2590673575129534,0.321906786496846,0.424967527756859
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04051374493014871,0.05804416403785489,0.020279405137449302,0.5005561735261402,8.623712337379699,1.0,0.017927818680935938,1.8860095691090615,0.9213687577954169,0.2590673575129534,0.4697799966771147,0.424967527756859
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.04416403785488959,0.03141054529067147,0.020324470482199188,0.46020408163265303,14.65126050420168,1.0,0.01893725397093925,1.7943623168528202,0.9747974797479748,0.3678629690048939,0.4426989518181999,0.5536314525810324
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03141054529067147,0.04416403785488959,0.020324470482199188,0.6470588235294118,14.65126050420168,1.0,0.01893725397093925,2.70820189274448,0.961962245636,0.3678629690048939,0.6307513104251601,0.5536314525810324
